S.No,State,Year_,Causes,Education_status,Means_adopted,Professional_Profile,Social_Status,Gender,Age_group,Number_of_suicides
1,A & N Islands,2001,Illness (Aids/STD),Primary,No,Student,Never Married,F,0-14,0
2,A & N Islands,2001,Bankruptcy or Sudden change in Economic Status,Primary,No,Student,Never Married,F,0-14,0
3,A & N Islands,2001,Cancellation/Non-Settlement of Marriage,Middle,No,Student,Never Married,F,0-14,0
4,A & N Islands,2001,Physical Abuse (Rape/Incest Etc.),Primary,No,Student,Never Married,F,0-14,0
5,A & N Islands,2001,Dowry Dispute,Middle,No,Student,Never Married,F,0-14,0
6,A & N Islands,2001,Family Problems,Primary,No,Student,Never Married,F,0-14,0
7,A & N Islands,2001,Ideological Causes/Hero Worshipping,Middle,No,Student,Never Married,F,0-14,0
8,A & N Islands,2001,Other Prolonged Illness,Primary,No,Student,Never Married,F,0-14,0
9,A & N Islands,2001,Property Dispute,Primary,No,Student,Never Married,F,0-14,0
10,A & N Islands,2001,Fall in Social Reputation,Primary,No,Student,Never Married,F,0-14,0
11,A & N Islands,2001,Illegitimate Pregnancy,Middle,No,Student,Never Married,F,0-14,0
12,A & N Islands,2001,Failure in Examination,Primary,No,Student,Never Married,F,0-14,0
13,A & N Islands,2001,Insanity/Mental Illness,Primary,No,Student,Never Married,F,0-14,0
14,A & N Islands,2001,Love Affairs,Primary,By Hanging,Student,Never Married,F,0-14,1
15,A & N Islands,2001,Professional/Career Problem,Primary,No,Student,Never Married,F,0-14,0
16,A & N Islands,2001,Divorce,No Education,No,House Wife,Divorcee,F,0-14,0
17,A & N Islands,2001,Drug Abuse/Addiction,No Education,No,Farming/Agriculture Activity,Never Married,F,0-14,0
18,A & N Islands,2001,Not having Children,No Education,No,Farming/Agriculture Activity,Widowed,F,0-14,0
19,A & N Islands,2001,Causes Not known,No Education,No,Others,Never Married,F,0-14,0
20,A & N Islands,2001,Unemployment,No Education,No,Unemployed,Never Married,F,0-14,0
21,A & N Islands,2001,Other Causes,Secondary,By Hanging,Student,Never Married,F,0-14,1
22,A & N Islands,2001,Poverty,No Education,No,Farming/Agriculture Activity,Married,F,0-14,0
23,A & N Islands,2001,Death of Dear Person,No Education,No,Others,Married,F,0-14,0
24,A & N Islands,2001,Cancer,Primary,No,Professional Activity,Married,F,0-14,0
25,A & N Islands,2001,Suspected/Illicit Relation,No Education,No,House Wife,Married,F,0-14,0
26,A & N Islands,2001,Paralysis,No Education,No,Others,Never Married,F,0-14,0
27,A & N Islands,2001,Property Dispute,Primary,No,House Wife,Divorcee,M,0-14,0
28,A & N Islands,2001,Unemployment,No Education,No,Unemployed,Never Married,M,0-14,0
29,A & N Islands,2001,Poverty,No Education,No,Farming/Agriculture Activity,Married,M,0-14,0
30,A & N Islands,2001,Family Problems,No Education,No,Farming/Agriculture Activity,Married,M,0-14,0
31,A & N Islands,2001,Illness (Aids/STD),Primary,No,Student,Never Married,M,0-14,0
32,A & N Islands,2001,Drug Abuse/Addiction,No Education,No,Farming/Agriculture Activity,Never Married,M,0-14,0
33,A & N Islands,2001,Other Prolonged Illness,Middle,By Hanging,Others,Married,M,0-14,1
34,A & N Islands,2001,Death of Dear Person,Primary,No,Others,Married,M,0-14,0
35,A & N Islands,2001,Other Causes,Primary,No,Others,Married,M,0-14,0
36,A & N Islands,2001,Cancer,Middle,No,Professional Activity,Married,M,0-14,0
37,A & N Islands,2001,Not having Children,No Education,No,Farming/Agriculture Activity,Widowed,M,0-14,0
38,A & N Islands,2001,Cancellation/Non-Settlement of Marriage,Middle,No,Others,Divorcee,M,0-14,0
39,A & N Islands,2001,Causes Not known,Primary,No,Others,Married,M,0-14,0
40,A & N Islands,2001,Paralysis,No Education,No,Others,Never Married,M,0-14,0
41,A & N Islands,2001,Physical Abuse (Rape/Incest Etc.),Primary,No,Student,Never Married,M,0-14,0
42,A & N Islands,2001,Professional/Career Problem,Middle,No,Student,Never Married,M,0-14,0
43,A & N Islands,2001,Love Affairs,Middle,No,Student,Never Married,M,0-14,0
44,A & N Islands,2001,Fall in Social Reputation,Primary,No,Student,Never Married,M,0-14,0
45,A & N Islands,2001,Dowry Dispute,Middle,No,Student,Never Married,M,0-14,0
46,A & N Islands,2001,Ideological Causes/Hero Worshipping,Middle,No,Student,Never Married,M,0-14,0
47,A & N Islands,2001,Illegitimate Pregnancy,No Education,No,Unemployed,Married,M,0-14,0
48,A & N Islands,2001,Failure in Examination,Primary,By Hanging,Student,Never Married,M,0-14,1
49,A & N Islands,2001,Bankruptcy or Sudden change in Economic Status,Primary,No,Student,Never Married,M,0-14,0
50,A & N Islands,2001,Insanity/Mental Illness,Primary,No,Student,Never Married,M,0-14,0
51,A & N Islands,2001,Divorce,No Education,No,House Wife,Divorcee,M,0-14,0
52,A & N Islands,2001,Suspected/Illicit Relation,No Education,No,House Wife,Married,M,0-14,0
53,A & N Islands,2001,Suspected/Illicit Relation,Diploma,No,Self Employed,Divorcee,F,15-29,0
54,A & N Islands,2001,Illegitimate Pregnancy,Graduate,No,Professional Activity,Divorcee,F,15-29,0
55,A & N Islands,2001,Other Prolonged Illness,Middle,By Hanging,House Wife,Married,F,15-29,8
56,A & N Islands,2001,Causes Not known,Middle,By Hanging,House Wife,Married,F,15-29,8
57,A & N Islands,2001,Bankruptcy or Sudden change in Economic Status,Graduate,No,Public Sector Undertaking,Widowed,F,15-29,0
58,A & N Islands,2001,Cancer,Graduate,No,Professional Activity,Seperated,F,15-29,0
59,A & N Islands,2001,Professional/Career Problem,Diploma,No,Professional Activity,Seperated,F,15-29,0
60,A & N Islands,2001,Property Dispute,Graduate,No,Public Sector Undertaking,Seperated,F,15-29,0
61,A & N Islands,2001,Cancellation/Non-Settlement of Marriage,Diploma,No,Service (Private),Widowed,F,15-29,0
62,A & N Islands,2001,Ideological Causes/Hero Worshipping,Hr. Secondary/Intermediate/Pre-Universit,No,Self Employed,Seperated,F,15-29,0
63,A & N Islands,2001,Illness (Aids/STD),Hr. Secondary/Intermediate/Pre-Universit,No,Service (Private),Seperated,F,15-29,0
64,A & N Islands,2001,Other Causes,Primary,By Hanging or By Fire/Self Immolation,House Wife,Never Married,F,15-29,6
65,A & N Islands,2001,Paralysis,Post Graduate,No,Professional Activity,Seperated,F,15-29,0
66,A & N Islands,2001,Love Affairs,Hr. Secondary/Intermediate/Pre-Universit,No,Professional Activity,Seperated,F,15-29,0
67,A & N Islands,2001,Poverty,Diploma,No,Farming/Agriculture Activity,Widowed,F,15-29,0
68,A & N Islands,2001,Death of Dear Person,Post Graduate,No,Self Employed,Divorcee,F,15-29,0
69,A & N Islands,2001,Dowry Dispute,Post Graduate,No,Farming/Agriculture Activity,Divorcee,F,15-29,0
70,A & N Islands,2001,Family Problems,Middle,By Consuming Other Poison,Student,Married,F,15-29,5
71,A & N Islands,2001,Fall in Social Reputation,Diploma,No,Service (Government),Seperated,F,15-29,0
72,A & N Islands,2001,Physical Abuse (Rape/Incest Etc.),Hr. Secondary/Intermediate/Pre-Universit,No,Farming/Agriculture Activity,Seperated,F,15-29,0
73,A & N Islands,2001,Failure in Examination,No Education,By Consuming Other Poison,Student,Never Married,F,15-29,2
74,A & N Islands,2001,Divorce,Post Graduate,No,Professional Activity,Divorcee,F,15-29,0
75,A & N Islands,2001,Unemployment,Post Graduate,No,Service (Private),Widowed,F,15-29,0
76,A & N Islands,2001,Drug Abuse/Addiction,Graduate,No,Professional Activity,Seperated,F,15-29,0
77,A & N Islands,2001,Not having Children,Post Graduate,No,Self Employed,Widowed,F,15-29,0
78,A & N Islands,2001,Insanity/Mental Illness,No Education,By Consuming Other Poison,Student,Never Married,F,15-29,2
79,A & N Islands,2001,Cancer,Post Graduate,No,Professional Activity,Seperated,M,15-29,0
80,A & N Islands,2001,Illegitimate Pregnancy,Diploma,No,Professional Activity,Seperated,M,15-29,0
81,A & N Islands,2001,Other Causes,Middle,By Consuming Other Poison,Others,Never Married,M,15-29,4
82,A & N Islands,2001,Other Prolonged Illness,Primary,By Hanging,Service (Government),Never Married,M,15-29,3
83,A & N Islands,2001,Physical Abuse (Rape/Incest Etc.),Diploma,No,Retired Person,Seperated,M,15-29,0
